ms,ax,ay,az,t_chip
4926,0.000,0.000,1.650,38.00
4946,0.000,0.000,1.650,38.00
4966,0.000,0.000,1.650,38.00
4986,0.000,0.000,1.650,38.00
5006,0.000,0.000,1.650,38.00
5026,0.000,0.000,1.650,38.00
5046,0.000,0.000,1.650,38.00
5066,0.000,0.000,1.650,38.00
5086,0.000,0.000,1.650,38.00
5106,0.000,0.000,1.650,38.00
5126,0.000,0.000,1.650,38.00
5146,0.000,0.000,1.650,38.00
5166,0.000,0.000,1.650,38.00
5186,0.000,0.000,1.650,38.00
5206,0.000,0.000,1.650,38.00
5289,0.000,0.000,1.650,38.00
5309,0.000,0.000,1.650,38.00
5329,0.000,0.000,1.650,38.00
5349,0.000,0.000,1.650,38.00
5369,0.000,0.000,1.650,38.00
5389,0.000,0.000,1.650,38.00
5409,0.000,0.000,1.650,38.00
5429,0.000,0.000,1.650,38.00
5449,0.000,0.000,1.650,38.00
5469,0.000,0.000,1.650,38.00
5489,0.000,0.000,1.650,38.00
5509,0.000,0.000,1.650,38.00
5529,0.000,0.000,1.650,38.00
5549,0.000,0.000,1.650,38.00
5569,0.000,0.000,1.650,38.00
5589,0.000,0.000,1.650,38.00
5609,0.000,0.000,1.650,38.00
5629,0.000,0.000,1.650,38.00


